Age,Rate
0,1.3192
1,1.320224
2,1.321248
3,1.322272
4,1.323296
5,1.32432
6,1.325344
7,1.326368
8,1.327392
9,1.328416
10,1.32944
11,1.330464
12,1.331488
13,1.332512
14,1.333536
15,1.33456
16,1.335584
17,1.336608
18,1.337632
19,1.338656
20,1.33968
21,1.340704
22,1.341728
23,1.342752
24,1.343776
25,1.3448
26,1.345824
27,1.346848
28,1.347872
29,1.348896
30,1.34992
31,1.350944
32,1.351968
33,1.352992
34,1.354016
35,1.35504
36,1.356064
37,1.357088
38,1.358112
39,1.359136
40,1.36016
41,1.361184
42,1.362208
43,1.363232
44,1.364256
45,1.36528
46,1.366304
47,1.367328
48,1.368352
49,1.369376
50,1.3704
51,1.371424
52,1.372448
53,1.373472
54,1.374496
55,1.37552
56,1.376544
57,1.377568
58,1.378592
59,1.379616
60,1.38064
61,1.381664
62,1.382688
63,1.383712
64,1.384736
65,1.38576
66,1.386784
67,1.387808
68,1.388832
69,1.389856
70,1.39088
71,1.391904
72,1.392928
73,1.393952
74,1.394976
75,1.396
76,1.397024
77,1.398048
78,1.399072
79,1.400096
80,1.40112
81,1.402144
82,1.403168
83,1.404192
84,1.405216
85,1.40624
86,1.407264
87,1.408288
88,1.409312
89,1.410336
90,1.41136
