Age,Rate
-90,1.227
-89,1.2256
-88,1.226
-87,1.2364
-86,1.2508
-85,1.256
-84,1.2568
-83,1.2651
-82,1.2433
-81,1.2408
-80,1.2446
-79,1.2442
-78,1.2472
-77,1.2535
-76,1.252
-75,1.2532
-74,1.2639
-73,1.2569
-72,1.256
-71,1.2696
-70,1.2592
-69,1.2543
-68,1.2474
-67,1.2443
-66,1.2451
-65,1.2632
-64,1.2436
-63,1.2541
-62,1.2442
-61,1.2411
-60,1.2386
-59,1.2396
-58,1.229
-57,1.2337
-56,1.2361
-55,1.2462
-54,1.2517
-53,1.2563
-52,1.2497
-51,1.2516
-50,1.2546
-49,1.2652
-48,1.2726
-47,1.2749
-46,1.2643
-45,1.2668
-44,1.2682
-43,1.2722
-42,1.2816
-41,1.2882
-40,1.2906
-39,1.2925
-38,1.2912
-37,1.2982
-36,1.2962
-35,1.2956
-34,1.308
-33,1.3096
-32,1.3123
-31,1.3205
-30,1.3209
-29,1.3236
-28,1.3158
-27,1.3177
-26,1.3174
-25,1.3146
-24,1.3105
-23,1.3183
-22,1.3129
-21,1.307
-20,1.3059
-19,1.3091
-18,1.2996
-17,1.3041
-16,1.307
-15,1.3102
-14,1.3067
-13,1.3054
-12,1.3034
-11,1.3067
-10,1.3052
-9,1.3036
-8,1.3108
-7,1.3214
-6,1.3279
-5,1.3356
-4,1.331
-3,1.3253
-2,1.3278
-1,1.3313
0,1.3192
