Age,UpperTop,UpperBottom,LowerTop,LowerBottom
0,1.3192,1.3192,1.3192,1.3192
1,1.320884112,1.320488045,1.319959955,1.319563888
2,1.322569248,1.321776499,1.320719501,1.319926752
3,1.324255408,1.323065363,1.321478637,1.320288592
4,1.325942592,1.324354637,1.322237363,1.320649408
5,1.3276308,1.32564432,1.32299568,1.3210092
6,1.329320032,1.326934413,1.323753587,1.321367968
7,1.331010288,1.328224915,1.324511085,1.321725712
8,1.332701568,1.329515827,1.325268173,1.322082432
9,1.334393872,1.330807149,1.326024851,1.322438128
10,1.3360872,1.33209888,1.32678112,1.3227928
11,1.337781552,1.333391021,1.327536979,1.323146448
12,1.339476928,1.334683571,1.328292429,1.323499072
13,1.341173328,1.335976531,1.329047469,1.323850672
14,1.342870752,1.337269901,1.329802099,1.324201248
15,1.3445692,1.33856368,1.33055632,1.3245508
16,1.346268672,1.339857869,1.331310131,1.324899328
17,1.347969168,1.341152467,1.332063533,1.325246832
18,1.349670688,1.342447475,1.332816525,1.325593312
19,1.351373232,1.343742893,1.333569107,1.325938768
20,1.3530768,1.34503872,1.33432128,1.3262832
21,1.354781392,1.346334957,1.335073043,1.326626608
22,1.356487008,1.347631603,1.335824397,1.326968992
23,1.358193648,1.348928659,1.336575341,1.327310352
24,1.359901312,1.350226125,1.337325875,1.327650688
25,1.36161,1.351524,1.338076,1.32799
26,1.363319712,1.352822285,1.338825715,1.328328288
27,1.365030448,1.354120979,1.339575021,1.328665552
28,1.366742208,1.355420083,1.340323917,1.329001792
29,1.368454992,1.356719597,1.341072403,1.329337008
30,1.3701688,1.35801952,1.34182048,1.3296712
31,1.371883632,1.359319853,1.342568147,1.330004368
32,1.373599488,1.360620595,1.343315405,1.330336512
33,1.375316368,1.361921747,1.344062253,1.330667632
34,1.377034272,1.363223309,1.344808691,1.330997728
35,1.3787532,1.36452528,1.34555472,1.3313268
36,1.380473152,1.365827661,1.346300339,1.331654848
37,1.382194128,1.367130451,1.347045549,1.331981872
38,1.383916128,1.368433651,1.347790349,1.332307872
39,1.385639152,1.369737261,1.348534739,1.332632848
40,1.3873632,1.37104128,1.34927872,1.3329568
41,1.389088272,1.372345709,1.350022291,1.333279728
42,1.390814368,1.373650547,1.350765453,1.333601632
43,1.392541488,1.374955795,1.351508205,1.333922512
44,1.394269632,1.376261453,1.352250547,1.334242368
45,1.3959988,1.37756752,1.35299248,1.3345612
46,1.397728992,1.378873997,1.353734003,1.334879008
47,1.399460208,1.380180883,1.354475117,1.335195792
48,1.401192448,1.381488179,1.355215821,1.335511552
49,1.402925712,1.382795885,1.355956115,1.335826288
50,1.40466,1.384104,1.356696,1.33614
51,1.406395312,1.385412525,1.357435475,1.336452688
52,1.408131648,1.386721459,1.358174541,1.336764352
53,1.409869008,1.388030803,1.358913197,1.337074992
54,1.411607392,1.389340557,1.359651443,1.337384608
55,1.4133468,1.39065072,1.36038928,1.3376932
56,1.415087232,1.391961293,1.361126707,1.338000768
57,1.416828688,1.393272275,1.361863725,1.338307312
58,1.418571168,1.394583667,1.362600333,1.338612832
59,1.420314672,1.395895469,1.363336531,1.338917328
60,1.4220592,1.39720768,1.36407232,1.3392208
61,1.423804752,1.398520301,1.364807699,1.339523248
62,1.425551328,1.399833331,1.365542669,1.339824672
63,1.427298928,1.401146771,1.366277229,1.340125072
64,1.429047552,1.402460621,1.367011379,1.340424448
65,1.4307972,1.40377488,1.36774512,1.3407228
66,1.432547872,1.405089549,1.368478451,1.341020128
67,1.434299568,1.406404627,1.369211373,1.341316432
68,1.436052288,1.407720115,1.369943885,1.341611712
69,1.437806032,1.409036013,1.370675987,1.341905968
70,1.4395608,1.41035232,1.37140768,1.3421992
71,1.441316592,1.411669037,1.372138963,1.342491408
72,1.443073408,1.412986163,1.372869837,1.342782592
73,1.444831248,1.414303699,1.373600301,1.343072752
74,1.446590112,1.415621645,1.374330355,1.343361888
75,1.44835,1.41694,1.37506,1.34365
76,1.450110912,1.418258765,1.375789235,1.343937088
77,1.451872848,1.419577939,1.376518061,1.344223152
78,1.453635808,1.420897523,1.377246477,1.344508192
79,1.455399792,1.422217517,1.377974483,1.344792208
80,1.4571648,1.42353792,1.37870208,1.3450752
81,1.458930832,1.424858733,1.379429267,1.345357168
82,1.460697888,1.426179955,1.380156045,1.345638112
83,1.462465968,1.427501587,1.380882413,1.345918032
84,1.464235072,1.428823629,1.381608371,1.346196928
85,1.4660052,1.43014608,1.38233392,1.3464748
86,1.467776352,1.431468941,1.383059059,1.346751648
87,1.469548528,1.432792211,1.383783789,1.347027472
88,1.471321728,1.434115891,1.384508109,1.347302272
89,1.473095952,1.435439981,1.385232019,1.347576048
90,1.4748712,1.43676448,1.38595552,1.3478488
